uid,source,age,age_group,gender,total_time
b650eb48-c4d6-4ca2-812d-63c4a20bd952,P01_02,20,Early Twenties,Male,42:47:00
47090792-d4ac-46c7-953c-2ef63ce078e9,P02,24,Mid-Twenties,Male,43:43:00
fabce172-a87a-4349-871b-f0f78014fdd7,P03,22,Early Twenties,Female,43:53:00
a5718128-6c67-436a-a5a6-a1ed828e70c4,P04_01,22,Early Twenties,Male,47:57:00
a5718128-6c67-436a-a5a6-a1ed828e70c4,P04_02,22,Early Twenties,Male,43:00:00
4061da66-0784-4c22-badd-9dbe5ddd8cff,P05,19,Late Teens,Male,45:33:00
890aad38-3f8b-4a17-bc9e-d28d4cfc8b27,P06,34,Older Adults,Female,51:11:00
5409f26d-37e2-4081-ba18-1d454effdfb2,P08,22,Early Twenties,Male,49:32:00
9ad0e5a6-d6cd-48ed-a2e2-f2e9a2651a1d,P09,21,Early Twenties,Female,45:56:00
f6a7a549-e555-4117-990d-02be52f774c3,P11_01,21,Early Twenties,Female,48:21:00
f6a7a549-e555-4117-990d-02be52f774c3,P11_02,21,Early Twenties,Female,42:22:00
0bc99734-fc07-4d5e-9466-5501233550c2,P12,19,Late Teens,Female,41:13:00
136e35c9-450d-4271-94b2-dc834cd735d6,P13,21,Early Twenties,Male,44:51:00
c0de02f5-509f-4d04-a598-a4879845905a,P14,22,Early Twenties,Male,45:37:00
fd8de02d-8a51-4f43-86b9-434215dd12ca,P15,20,Early Twenties,Female,45:55:00
04ba0d00-3c6e-47c0-a248-363433852e4a,P16,19,Late Teens,Female,39:10:00
88bbbb01-033e-4258-b2ca-b94f85333fd6,P17,22,Early Twenties,Female,39:00:00
7415013b-a7e8-4e7e-a26c-150b16423529,P18,19,Late Teens,Male,49:44:00
9d19634d-3a04-4ca5-89af-c325d144cece,P19,19,Late Teens,Female,56:00:00
87a25d1b-e87c-4258-9478-ad952e8d1d1f,P20,20,Early Twenties,Female,46:53:00
cbe50274-3654-47a9-aa23-d13b5e5050b2,P21,23,Early Twenties,Male,39:44:00
33b3a3de-e40b-420f-882d-df98da39e484,P22,20,Early Twenties,Female,44:56:00
ae010a38-69e6-47dd-ac45-d5467e5e8906,P23,21,Early Twenties,Female,46:50:00
e27c8fce-55d3-403e-a75e-40fc5ab27ea9,P25,22,Early Twenties,Male,46:27:00
dc93d081-94ea-4026-a603-a34e021f6d92,P26,20,Early Twenties,Male,37:43:00
c6eb1e1e-67b5-4626-86ac-b495ce52991c,P27,25,Mid-Twenties,Male,39:00:00
1b14212e-c1ab-4ca8-8195-7e59443c697f,P28,20,Early Twenties,Female,35:29:00
1f80e7ca-f671-4444-8803-a3cdcf5cab73,P29,22,Early Twenties,Female,36:21:00
1ea0ed3f-e4b8-4a81-9e2c-6894d15cd2aa,P30_01,24,Mid-Twenties,Male,39:10:00
1ea0ed3f-e4b8-4a81-9e2c-6894d15cd2aa,P30_02,24,Mid-Twenties,Male,33:34:00
1ea0ed3f-e4b8-4a81-9e2c-6894d15cd2aa,P30_03,24,Mid-Twenties,Male,32:52:00
3dede7e0-ad6b-4c02-9c24-8f0b38ff3bd9,P31,21,Early Twenties,Female,56:47:00
89a0d67d-3878-4064-9061-04980789d415,P32,22,Early Twenties,Female,38:10:00
dfcb261e-3533-4bf2-b1a2-497739afa316,P33,20,Early Twenties,Male,41:00:00
8eb12084-20bb-44a4-9cfb-7d5759077ed1,P34,21,Early Twenties,Male,37:35:00
dc950742-427d-4648-ad7d-f866ab8926a7,P35,20,Early Twenties,Female,50:11:00
57f81b10-582b-46a9-94e7-284ec53b5b17,P36,21,Early Twenties,Male,44:43:00
8625f06f-b767-4d79-9c24-762fb7ac4387,P37,21,Early Twenties,Female,50:41:00
f6238e3d-6c2a-4cb0-bfcc-a1165cac56ea,P38,22,Early Twenties,Female,40:07:00
459564fe-0754-4834-83b7-ad3fb6c28ee1,P39,18,Late Teens,Male,41:29:00
e5c054c4-05b7-4ddb-80f6-753b900a01b4,P41,19,Late Teens,Male,39:48:00
6f4f179e-350d-446c-8b17-0cc4aab042ef,P42,20,Early Twenties,Female,53:17:00
6da319df-8662-4f66-b68e-6bb3b3d1f988,P43,21,Early Twenties,Female,49:46:00
541ac678-702e-4163-9c8b-6abba2e0a2aa,P44,21,Early Twenties,Female,46:43:00
86195b18-1274-48e4-acf0-f4dc6c65b83f,P45,21,Early Twenties,Male,45:08:00
a676fd22-5213-4406-b142-1e59eef082cb,P46,26,Mid-Twenties,Female,53:00:00
304d4b10-4a4c-4f5e-bf3b-94df0d07d46b,P47,54,Older Adults,Female,40:00:00
04c08aec-094d-48bf-a09f-d9edc5279189,P48,58,Older Adults,Male,45:00:00
b5ed2b1e-0440-4416-9856-7919e14426e6,P49,23,Early Twenties,Female,62:27:00
e08f0120-2ffc-40ce-b202-a33ea3cad7ae,P50,20,Early Twenties,Male,35:45:00
4e1f0ca9-89c6-4d86-9444-ed7ea1c4fb92,PI1_01,22,Early Twenties,Male,50:00:00
4e1f0ca9-89c6-4d86-9444-ed7ea1c4fb92,PI1_02,22,Early Twenties,Male,47:00:00
4e1f0ca9-89c6-4d86-9444-ed7ea1c4fb92,PI1_03,22,Early Twenties,Male,44:59:00
4e1f0ca9-89c6-4d86-9444-ed7ea1c4fb92,PI1_04,22,Early Twenties,Male,36:34:00
21af055a-2759-4b99-9557-5ab0fcc0af00,PI2_01,24,Mid-Twenties,Female,32:07:00
